Row,cCD_PC1,cCD_PC2,cCD_PC3,cCD_PC4,cCD_PC5,cCD_PC6,cCD_PC7,cCD_PC8,cCD_PC9,cCD_PC10,cCD_PC11,cCD_PC12,cCD_PC13,cCD_PC14,cCD_PC15,cCD_PC16
AHCYL1,0.002752315,0.01512397,0.011777981,-0.002951343,-0.010839195,-0.034108119,0.033241561,0.007685405,0.008821424,0.016663988,-0.001100537,-0.009995678,-0.032191303,0.028668322,-0.003878885,-0.01426046
AHRR,-0.018183232,-0.009023669,0.014433447,-0.011258249,-0.037908226,-0.034223032,0.004373641,-0.005467447,0.007899392,0.021750311,-0.025642092,0.010603868,-0.002836613,0.027410593,0.018106203,0.011930866
AICDA,-0.017291496,0.023913293,0.001133769,0.004549677,-0.011516576,-0.025626459,0.01414225,-0.018087138,-0.012998182,0.023058902,0.023969537,0.012008031,-0.011581916,0.026166355,0.012972652,-0.033908173
AIM2,-0.014445577,0.010438258,-0.015272135,0.011961732,-0.012376196,-0.014492865,-0.02248535,-0.021132307,0.004483719,-0.045089824,-0.016459416,0.005084888,0.015683497,0.010560305,0.020635469,-0.000293766
AK3,0.033343333,0.002948129,-0.012005439,0.018786449,-0.020536278,-0.018294299,0.013063996,-0.002244398,0.007929708,-0.007169887,0.003147436,-0.001267416,0.014637194,0.002190956,-0.012990171,0.00717148
AK5,-0.000708444,0.01844724,0.004765989,-0.011510239,-0.008144856,0.022351978,0.024697485,0.010892545,0.020848731,-0.027963252,-0.00174344,-0.000598532,-0.01026339,0.06019866,0.004757716,0.028997547
AK7,-0.019339257,0.034436274,0.009165221,0.005362224,0.002859862,-0.022927711,-0.018167584,0.001097413,0.00748185,-0.005523775,0.003119037,0.012956021,-0.003101789,-0.000305499,-0.006209146,-0.002137128
AKAP1,0.036732567,0.013850499,0.00533894,0.015777984,-5.78E-05,-0.002455953,0.011243958,0.00091175,-0.009290272,-0.004624516,0.003177282,0.008997013,-0.006091346,0.007084758,0.002475022,-0.007759822
AKR1A1,-0.024581944,0.001070892,0.021483889,-0.012099698,-0.003418162,-0.033708683,-0.022015669,-0.013781697,0.012135153,0.008544585,-0.000406365,-0.009243856,0.016655237,-0.011860076,0.008279294,-0.002441728
AKR1B10,0.001270851,0.000390537,-0.009676769,0.011205479,0.028715934,-0.008386596,0.003703026,0.017641023,0.039092349,-0.015779698,0.025138812,0.029991024,-0.024455249,0.027031484,-0.046912707,-0.018659928
AKR1C3,-0.025584362,-0.016420769,0.00594056,-0.028870462,-0.001373878,-0.003374787,-0.016649073,-0.017008246,0.000235453,-0.012692471,0.02777601,-0.015166545,0.005423095,0.009111483,-0.016502987,-0.009448897
AKR7A2,0.014948704,-0.017252413,0.023753344,0.022297303,-0.02741478,-0.007054789,0.003269115,0.022248378,-0.014510913,0.002307558,0.007725267,0.000328415,-0.002484195,0.014696659,0.024089503,0.010903868
AKT1,-0.032412605,-0.002964487,-0.015801533,-0.000969797,0.003345044,0.00461172,0.003338533,0.020952332,-0.017789157,0.021372151,-0.033285611,0.002124924,0.00615168,-0.013839903,0.005037008,-0.015934465
ALCAM,-0.030225607,-0.008865133,0.018196324,0.00237377,0.002560378,0.011115545,-0.014300887,-0.006777897,0.015419726,0.007345268,-0.014478688,-0.00177978,-0.01571907,-0.002243091,0.001758912,-0.037681227
ALDH16A1,0.002122911,-0.016152579,0.03206422,-0.001574044,0.010928415,0.010457933,-0.012518475,0.017599318,-0.014778658,-0.008442007,-0.0020788,0.009787065,-0.017642466,0.003482964,0.02798122,0.00418103
