NAME,DESCRIPTION,NI_V_1,NI_V_2,NI_V_3,NI_V_4,NI_V_5,NI_MKI_1,NI_MKI_2,NI_MKI_3,NI_MKI_4,NI_MKI_5
ENSMUSG00000068606,NA,4.626258422,2.309335425,9.248937605,6.497829034,7.017468739,4.57066826,2.208447437,0,5.562297662,0
ENSMUSG00000068614,NA,7.463255698,7.08990457,4.677838605,3.533930026,10.67573526,6.677003648,0.694454169,11.02312224,1.205752903,2.364484503
ENSMUSG00000068617,NA,0,5.590208338,3.083824755,1.074755709,2.362998407,3.654006772,2.214953895,0.99694299,0.940861553,0.9347724
ENSMUSG00000068629,NA,0,0,0,0,0,0,1.095770075,2.005501442,0,0.919614915
ENSMUSG00000068631,NA,0.751859666,1.143880094,0,1.132264389,0,0,0,1.98977527,1.964230328,0
ENSMUSG00000068638,NA,8.581077941,6.744188905,21.35098661,20.87439353,14.04167754,7.353639234,11.0461179,16.93040487,21.40344105,11.12655568
ENSMUSG00000068663,NA,270.5993194,330.7719672,318.8329881,262.1342372,297.6473003,302.8099597,222.5073752,312.5681455,291.6821522,311.4454864
ENSMUSG00000068674,NA,0,0,0,7.798385138,4.507216797,0,2.145118325,2.104821393,1.847185418,0
ENSMUSG00000068686,NA,113.7158598,92.35523534,116.3732297,58.45177268,85.50540123,74.46451855,49.89227645,75.66770217,43.99409718,74.20462214
ENSMUSG00000068689,NA,0,0,0,0,0,0,2.214722893,0,0.920839457,1.864730292
ENSMUSG00000068696,NA,3.07095949,1.197982493,1.057504145,0,0,0.83891088,1.102359795,1.012019685,3.794959175,1.834477137
ENSMUSG00000068699,NA,350.1190696,792.7518869,227.0139045,117.680234,153.2013668,263.5456236,144.5401321,184.312126,126.469878,232.9988684
ENSMUSG00000068732,NA,600.9856224,652.5240911,540.3664178,426.5716621,606.4634142,622.7208845,517.1535292,714.0891369,447.4450617,734.9690029
ENSMUSG00000068735,NA,501.7777064,577.6056305,417.5698342,237.2898176,211.2221961,403.2789182,335.8596644,265.073218,385.5255103,325.6511508
ENSMUSG00000068739,NA,975.6423032,1042.013455,1116.722991,1145.435657,1230.522953,1192.729137,1213.590018,1150.623419,1236.854876,1104.229687
