NAME,DESCRIPTION,I_V_1,I_V_2,I_V_3,I_V_4,I_V_5,I_V_6,I_MKI_1,I_MKI_2,I_MKI_3,I_MKI_4,I_MKI_5,I_MKI_6
ENSMUSG00000083106,NA,0,1.280798825,2.086580102,0.680496383,0.581448305,2.271947363,1.329528506,0,3.59816664,0,1.698848296,0
ENSMUSG00000083111,NA,34.5771338,16.80816029,19.46785916,27.95302027,26.00861198,12.35457977,11.10013507,0,24.97527814,0,15.44270335,22.12582734
ENSMUSG00000083113,NA,0,0,1.042735269,0,0,0,1.387709948,0.865926089,1.737277467,0,0,1.300019622
ENSMUSG00000083121,NA,0,0.639347743,1.04157675,1.35875773,2.32197378,6.80464905,0.672456473,10.09482049,1.796128849,0,1.696058432,10.02752268
ENSMUSG00000083122,NA,0,0,0,0.675222904,0,0.760725701,0,0,0,0,0,0
ENSMUSG00000083139,NA,0,0,0,1.393170284,0,1.497759896,0,0.824416819,3.609332073,0,0,0
ENSMUSG00000083140,NA,0,0,0,1.388334549,0.611671041,0,1.248393108,0,0,0,1.69711362,0
ENSMUSG00000083149,NA,0,0,1.037024221,0,0,1.506421132,2.696024659,1.68644052,1.803211692,0,0,0.668219268
ENSMUSG00000083150,NA,0,2.557390972,4.166307001,2.717515461,1.741480335,2.26821635,0,0,0,0,0,3.342507561
ENSMUSG00000083152,NA,0,0.633232573,0,0.6856178,0,0,1.340711091,0,1.802603864,0,0,0
ENSMUSG00000083159,NA,0,0,0,0,0.584889929,0.754712371,0,0,0,1.878427881,0,0
ENSMUSG00000083161,NA,0,0,0,2.126051085,5.532493835,2.301735447,1.905848706,6.171024559,0,11.60471701,0,8.741916811
ENSMUSG00000083163,NA,2.31391388,0.639347743,0,1.35875773,1.741480335,1.512144233,1.344912945,3.364940162,0,1.889250718,0,0
ENSMUSG00000083166,NA,0,0,0,0,0.580493445,0,0.672456473,0,1.796128849,0,0,0.668501512
ENSMUSG00000083169,NA,0,0,24.08949852,0.678249497,0,0.758551499,0,0.849619394,0,0,0,0.657184614
ENSMUSG00000083177,NA,0,0.645838898,1.028585698,1.373341255,1.164954936,0.759213665,0,0,0,0,0,1.316064215
ENSMUSG00000083178,NA,11.6861472,3.302684187,17.47744231,4.952944712,8.486366726,1.48141079,3.149260287,0,0,11.26688366,0,3.271532094
ENSMUSG00000083179,NA,27.76696656,60.09868783,62.49460502,91.03676794,123.0646104,204.1394715,147.940424,274.2426232,64.66063856,37.78501435,61.05810355,127.6837888
ENSMUSG00000083180,NA,0,0,0,0,1.187679811,1.492124931,0.67052909,0.83783587,0,0,0,1.333685167
ENSMUSG00000083199,NA,0,0,0,0,0,0,1.973003512,3.330597457,0,0,0,1.381163726
ENSMUSG00000083200,NA,0,0,1.045346854,0,0.578284898,1.512444851,0,0,0,0,0,0
